,text
Ses01F_impro04_M015,"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
Ses01F_impro04_F016,I'm there in front of them. I'm telling them what I'm good at.
Ses01F_impro04_M016,"Yeah. But the piece of paper helps, too."
Ses01F_impro04_F017,Why? It's a piece of paper.
Ses01F_impro04_M017,"No. But it has an outline, you know."
Ses01F_impro04_F018,"I just don't want this paper trail, you know. I just don't want things following me around, like-."
Ses01F_impro04_M018,"I know. Okay. Well, um. Maybe--"
Ses01F_impro04_F019,"It's just-- You know, I've had this problem before. You're not the first person to tell me that I need a resume but..."
Ses01F_impro04_M019,Yeah.
Ses01F_impro04_M020,"Okay, yeah. I would imagine."
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
Ses01F_impro04_F021,"That's baloney, that's baloney."
Ses01F_impro04_F022,Please.
Ses01F_impro04_M022,maybe get a car.
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe."
Ses01F_impro04_F023,you think that you're better than me because I don't have a car?
Ses01F_impro04_M024,I didn't say that.
Ses01F_impro04_F024,"You know, you're riding the bus, too."
Ses01F_impro04_M025,"I am riding the bus, but by choice."
Ses01F_impro04_F025,Why? What choice?
Ses01F_impro04_M026,"To save the environment, carpool."
Ses01F_impro04_F026,You're saving the environment. mmhmm
Ses01F_impro04_M027,Yes. One less car at a time.
Ses01F_impro04_F027,Interesting. That's fantastic.
Ses01F_impro04_M028,Mmhmm.
Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because..."
Ses01F_impro04_F028,I'm not frustrated.
Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.
Ses01F_impro04_F029,Who do you think you are?
Ses01F_impro04_M031,I don't think I'm anyone.
Ses01F_impro04_F030,You are so high and mighty. I just--
Ses01F_impro04_M032,I- I-I didn't-- okay.
Ses01F_impro04_F031,Oh. I'm saving the environment. I'm riding this car because I- I want to.
Ses01F_impro04_M034,What? Oh. So now you're...
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to."
Ses01F_impro04_M035,you know what? You don't have to take your anger and your hurt out on me.
Ses01F_impro04_F033,I can not-- you are not here by choice. Nobody would ride this bus by choice.
Ses01F_impro05_F000,Hi.
Ses01F_impro05_M000,Hi. Thanks for waiting.
Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.
Ses01F_impro05_M001,Can I help you?
Ses01F_impro05_M002,Uh huh.
Ses01F_impro05_F002,I need my bag.
Ses01F_impro05_M003,Okay.
Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines."
Ses01F_impro05_M004,Okay.
Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times. They told me to go to the next one. I waited through that for three planes and now I'm here.
Ses01F_impro05_M005,Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.
Ses01F_impro05_F005,Nash.
Ses01F_impro05_M006,Okay.
Ses01F_impro05_M007,all right- okay. And you lost your bag? Is that- that the issue?
Ses01F_impro05_F007,Yes.
Ses01F_impro05_F008,Flight seven fourteen.
Ses01F_impro05_M008,Uh-huh.
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?"
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--"
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-"
Ses01F_impro05_M011,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again..."
Ses01F_impro05_M012,"for such an inconvenience and your bag, but"
Ses01F_impro05_F011,Is this a joke?
Ses01F_impro05_M013,Yeah.
Ses01F_impro05_M014,"No, no."
Ses01F_impro05_F012,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline."
Ses01F_impro05_M015,"No, no. This is real."
Ses01F_impro05_M016,"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because..."
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.
Ses01F_impro05_F014,"You're kidding me, this is a joke."
Ses01F_impro05_F015,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.
Ses01F_impro05_M019,Yes.
Ses01F_impro05_M020,I know.
Ses01F_impro05_F016,We flew in from Paris. I've been shopping for three weeks.
Ses01F_impro05_F017,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.
Ses01F_impro05_M022,Okay. Calm-
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really"
Ses01F_impro05_F018,Do you understand who my husband is?
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it."
Ses01F_impro05_M024,"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that."
Ses01F_impro05_F020,Oh-Oh. It's a gift. You're-You're helping me out here?
Ses01F_impro05_M025,It's a gift.
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here."
Ses01F_impro05_F021,You are cruising for a bruising. You are in so much trouble.
Ses01F_impro05_M027,With the amount of--
Ses01F_impro05_F022,Who's in charge? Who is the president of Jet Blue?
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?"
Ses01F_impro05_F023,Because I probably know him.
Ses01F_impro05_F024,Yeah.
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money. But right now all I can do--
Ses01F_impro05_F025,"I don't want money, I want my clothes."
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry."
Ses01F_impro05_F026,What's your name?
Ses01F_impro05_M031,Oh. My name is Sean. Hi.
Ses01F_impro05_F028,Okay. I'll do that.
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.
Ses01F_impro05_M034,"If you want, you can write a letter. I can give you the address. Yes. An angry--"
Ses01F_impro05_F030,A letter? I'll make a personal phone call.
Ses01F_impro05_M035,"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more..."
Ses01F_impro06_M000,"I'm sorry, Joy."
Ses01F_impro06_M001,Is there anything I can get you? Do you want me to take care of anything for you or...?
Ses01F_impro06_M002,...pick up anything?
Ses01F_impro06_F002,No.
Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.
Ses01F_impro06_F003,That's sweet.
Ses01F_impro06_F004,Thank you.
Ses01F_impro06_F005,I went to see her headstone a week or two ago.
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city."
Ses01F_impro06_M004,Hmm.
Ses01F_impro06_F007,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there."
Ses01F_impro06_M005,Oh. She was there?
Ses01F_impro06_F010,"Yeah. And she was like, that's pathetic, I hope you enjoy it."
Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly."
Ses01F_impro06_M006,Mmhmm.
Ses01F_impro06_F012,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever."
Ses01F_impro06_M007,Yeah.
Ses01F_impro06_F013,I don't know.
Ses01F_impro06_M008,How long were you there for?
Ses01F_impro06_F014,At the cemetery?
Ses01F_impro06_M009,Mmhmm.
Ses01F_impro06_F015,couple hours.
Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers."
Ses01F_impro06_M010,Oh really?
Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?
Ses01F_impro06_M012,Is it a big cemetery?
Ses01F_impro06_F018,Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.
Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?"
Ses01F_impro06_F019,Yeah.
Ses01F_impro06_F020,"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors."
Ses01F_impro06_F021,"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her."
Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.
Ses01F_impro06_M014,Mmhmm.
Ses01F_impro06_F023,Umm. Yeah.
Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm..."
Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool."
Ses01F_impro06_M015,Mmhmm.
Ses01F_impro06_F026,"Some, I guess. She memorized this one, John Dunn, it's called, Death Be Not Proud. and-"
Ses01F_impro06_M016,So she wrote a lot of poetry?
Ses01F_impro06_F027,"There's another one, I can't remember."
Ses01F_impro06_F028,"I remember, too, when we were-- she died at U.C.L.A. She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back. And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. All she needs is a God damn audience. You know?"
Ses01F_impro06_M017,Mmhmm.Mmhmm.Mmhmm.
Ses01F_impro07_M000,Did you get the letter?
Ses01F_impro07_F000,"Yes. There's a big envelope it says, you're in. I know."
Ses01F_impro07_M001,Yeah. That is so awesome.
Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER]
Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh. That's what loans are for? Right? Exactly."
Ses01F_impro07_F002,"I'm really excited. Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah. Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that."
Ses01F_impro07_M004,"Oh. Good, good. That's awesome. Are you going to stay around here? Or are you going to like get a different neighborhood- you going to move to a different neighborhood?"
Ses01F_impro07_F003,"Oh- I know, I know, I know, I know."
Ses01F_impro07_F004,"I don't know. I spend so much time commuting as it is, I'd rather."
Ses01F_impro07_M005,This is so- I am so happy that you're going to stay. You're not going to...We should totally throw a party.
Ses01F_impro07_F005,I know. We should throw a party.
Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.
Ses01F_impro07_M007,"I am just- Yeah. I'm sticking around, I'm just doing my thing. I'm living here. I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo."
Ses01F_impro07_F007,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.
Ses01F_impro07_M008,Yeah. Big time.
Ses01F_impro07_M009,Mmhmm. Mmhmm. Yay. So what major? What are you doing?
Ses01F_impro07_F009,Yeah. I'm not sure.
Ses01F_impro07_M012,Is this a Masters or a P.h.D.? Or can you...? Nice
Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER]
Ses01F_impro07_M013,"That's good. Don't you have to like teach a class, too, when you do that?"
Ses01F_impro07_M014,"Teacher. Mrs. Nash, I have a question."
Ses01F_impro07_F012,So I get to mold young minds. Mrs.? That's my mother.
Ses01F_impro07_M015,You have to get married. Well you are married to Chuck. You're Mrs. Nash. Not to be confused with Mrs. Dash which is the popular seasoning.
Ses01F_impro07_F013,"I would be like- Oh. Right, right, right."
Ses01F_impro07_M017,Yay...School's fun.
Ses01F_impro07_M018,"Of course, right. That's where the real money is, being a student."
Ses01F_impro07_M019,That's how you get the big bucks. Are you messing with the chair? Don't ruin it.
Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time. The last three things I've done, I've ruined everything, I think. Mm-hmm. Yeah."
Ses01F_script01_1_F000,What's he going to say?
Ses01F_script01_1_M000,He saw it.
Ses01F_script01_1_M001,He was out here when it broke.
Ses01F_script01_1_M002,Four o clock this morning. I heard a crack and I woke up and looked out. He was standing right over there when it cracked.
Ses01F_script01_1_M003,I don't know.
Ses01F_script01_1_F005,"He's dreaming of him again, walking around."
Ses01F_script01_1_M004,I guess he is.
Ses01F_script01_1_M005,"I don't know the meaning of it. But I know one thing, Mom, you've made a terrible mistake with father."
Ses01F_script01_1_M007,You know Larry is not coming back and I know it. Why do we allow him to go on thinking that we believe with him?
Ses01F_script01_1_F009,What do you want to do? Argue with him?
Ses01F_script01_1_M008,I don't want to argue but it's time he realized that nobody believes Larry is alive.
Ses01F_script01_1_M009,"You know? Why shouldn't he walk the nights thinking of him, dreaming of him? Do we contradict him? Do we say, we don't have any hope anymore? That we haven't had any hope for years now?"
Ses01F_script01_1_F010,You can't say that to him.
Ses01F_script01_1_M010,We've got to say it to him.
Ses01F_script01_1_F011,Where's the proof? Do you have any proof?
Ses01F_script01_1_M011,"For God's sake, three years? Nobody comes back after three years; that's insane."
Ses01F_script01_1_F012,"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face. But there is no grave and there is no body, so where are you?"
Ses01F_script01_1_M012,"Sit down, Mom. I want to talk to you."
Ses01F_script01_1_M013,"All right, all right, all right. You know why I asked Annie here, right?"
Ses01F_script01_1_F014,Why?
Ses01F_script01_1_M014,You know.
Ses01F_script01_1_F015,"Well I got an idea, but what's your story?"
Ses01F_script01_1_M015,I'm going to ask her to marry me.
Ses01F_script01_1_M016,You know it's not just my business.
Ses01F_script01_1_M017,"So all right then, I'll just go ahead with it?"
Ses01F_script01_1_M018,Then it's not just my business.
Ses01F_script01_1_M019,"You know sometimes you infuriate me. you know that? Isn't it your business if I tell father and he throws a fit about it? God, you have such a talent for ignoring things."
Ses01F_script01_1_M020,She's not Larry's girl.
Ses01F_script01_1_F021,"From your father's point of view, he is not dead and- Chris he still thinks he's still alive. The girl is Larry's girl."
Ses01F_script01_1_F022,"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go."
Ses01F_script01_1_M021,"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time."
Ses01F_script01_1_F023,"You're a considerate fellow, there's nothing wrong in that."
Ses01F_script01_1_M022,To hell with that.
Ses01F_script01_1_F024,I just don't see why. Have you asked Annie yet?
Ses01F_script01_1_M023,I wanted to get this settled first.
Ses01F_script01_1_F025,Well how do you know she's going to marry you? Maybe she feels the same way your father does.
Ses01F_script01_1_M024,"Well if she does, then that's it. That's the end of it. From her letters, though, I think she's pretty much forgotten him."
Ses01F_script01_1_M025,And then we'll thrash it out with father. Okay Mom? Don't avoid me.
Ses01F_script01_1_F026,The trouble is you don't see enough women. You never did.
Ses01F_script01_1_M026,So what. I'm not fast with women.
Ses01F_script01_1_F027,Why does it have to be Annie?
Ses01F_script01_1_M027,Because it is.
Ses01F_script01_1_F028,Oh that's a great reason. It's no reason at all.
Ses01F_script01_1_M028,I don't know.
Ses01F_script01_1_F029,"You haven't seen her since you went away to war, it's been five years."
Ses01F_script01_1_M029,"I can't help it, I know her best. I was brought up next door to her, you know? These years when I think of someone for my wife, I think of Annie."
Ses01F_script01_1_M030,"Mom, what do you want? A diagram?"
Ses01F_script01_1_F030,I don't want a diagram.
Ses01F_script01_1_F031,He thinks he's coming back Chris.
Ses01F_script01_1_F032,"You marry that girl, you are pronouncing him dead..."
Ses01F_script01_1_F033,...and then what's that going to do to your father? Do you know? I don't.
Ses01F_script01_1_M031,"All right, then, Mom. [BREATHING]"
Ses01F_script01_1_F034,Just give it some more thought.
Ses01F_script01_1_M032,"I've given it three years of thought. And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy."
Ses01F_script01_1_M033,"But if I can't do that here, I may have to go somewhere else."
Ses01F_script01_1_F035,What the hell is this?
Ses01F_script01_1_M034,"I'll get out. I'll get married and I'll move somewhere else, maybe New York."
Ses01F_script01_1_M035,"I've been a good son for too long, a good sucker."
Ses01F_script01_1_F037,You have a business here. What the hell is this?
Ses01F_script01_1_M036,The business? The business doesn't inspire me.
Ses01F_script01_1_F038,Oh. Must you be inspired?
Ses01F_script01_1_M037,"Yes. I like it for an hour a day. I don't care if I have to grub for money all day long, when I come home I want it happy."
Ses01F_script01_1_M038,"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that. Now it's just where to find it."
Ses01F_script01_1_F039,You mean to tell me that you would leave the business over this?
Ses01F_script01_1_M039,"On this, I would."
Ses01F_script01_1_F040,Well you don't want to think like that.
Ses01F_script01_1_M040,Then help me stay here.
Ses01F_script01_1_F041,"All right. But you don't want to think like that because what the hell are we working for, Chris? It's all for you. This whole shooting match is for you."
Ses01F_script01_1_M041,I know that. Then just help me stay here.
Ses01F_script01_1_F042,Just don't think like that.
Ses01F_script01_1_M042,Well I am thinking like that.
Ses01F_script01_1_F043,"I don't understand you, do I?"
Ses01F_script01_1_M043,No. You don't. I'm a pretty tough guy.
Ses01F_script01_1_F044,I can see that.
Ses01F_script01_2_M001,Well maybe...maybe he just wanted to see her.
Ses01F_script01_2_M003,[BREATHING] You don't look at me like that. He didn't tell me anything more than he told you.
Ses01F_script01_2_F003,He's not going to marry her.
Ses01F_script01_2_M004,How do you know he's even thinking about it?
Ses01F_script01_2_F004,It's got that about it.
Ses01F_script01_2_F005,"What is going on here, Joe?"
Ses01F_script01_2_M006,Now listen.
Ses01F_script01_2_F006,She is not his girl. She knows she's not.
Ses01F_script01_2_M007,You can't read her mind.
Ses01F_script01_2_F007,"Then why is she still single? New York is full of men, why is she still single? Probably a hundred people told her she's foolish, but she waited."
Ses01F_script01_2_M008,How do you know why she waited?
Ses01F_script01_2_F008,"Because she knows what I know, that's why. She's faithful as a rock. In my darkest moments, I think of her waiting and I know that I'm right."
Ses01F_script01_2_M009,"Hey look, it's a nice day, huh? Why are we arguing?"
Ses01F_script01_2_F009,"Nobody in this house dares take away her faith, Joe. You know strangers might, but not his father, not his brother."
Ses01F_script01_2_M010,What do you want me to do? What do you want?
Ses01F_script01_2_F010,"I want you to-- I want you to act like he is coming back, both of you. Don't think I haven't noticed you since Chris invited her here."
Ses01F_script01_2_F011,I won't stand for any nonsense.
Ses01F_script01_2_M011,Kate.
Ses01F_script01_2_F012,"Because if he's not coming back, I'll kill myself. Oh laugh, laugh all you like but why does this happen the very night he comes back. She goes to sleep in his room and his memorial breaks in pieces. Look at it, Joe, look."
Ses01F_script01_2_M012,[BREATHING]
Ses01F_script01_2_M013,Calm yourself.
Ses01F_script01_2_F013,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry. Believe with me. You, above all, have got to believe. Just believe."
Ses01F_script01_2_M014,Okay. Calm yourself.
Ses01F_script01_2_M015,"I know. All right, all right. All right. Okay. Calm yourself. What does that mean, me above all?"
Ses01F_script01_2_F014,I can't help it.
Ses01F_script01_2_M017,"What have I got to hide? What the hell is the matter with you, Kate?"
Ses01F_script01_3_F000,You're the only one who still loves his parents.
Ses01F_script01_3_M000,"I know. It kind of went out of style, didn't it?"
Ses01F_script01_3_F001,It's not so bad; it's a good thing.
Ses01F_script01_3_F002,"[BREATHING] You know, it's lovely here. The air is sweet."
Ses01F_script01_3_M001,You're not sorry you came.
Ses01F_script01_3_F003,"I'm not sorry, no. But I'm...I can't stay."
Ses01F_script01_3_F004,"For one thing, your mother much as told me to go."
Ses01F_script01_3_M003,Well.
Ses01F_script01_3_F005,"And then, you. You've been kind of..."
Ses01F_script01_3_M004,What?
Ses01F_script01_3_F006,Sort of embarrassed ever since I got here.
Ses01F_script01_3_M005,Well I was kind of planning of sneaking up on you over the course of a week or so. They just take it for granted that we're all set.
Ses01F_script01_3_F007,I knew they would.
Ses01F_script01_3_F008,"Well sure, from your mother's point of view. Why else would I come?"
Ses01F_script01_3_F009,"I, umm. I guess, I guess that's kind of why I came."
Ses01F_script01_3_F010,[BREATHING]
Ses01F_script01_3_M008,"I love you. Annie, I love you."
Ses01F_script01_3_F011,[LAUGHTER]
Ses01F_script01_3_M009,"I don't really have any imagination, that's all I know how to say."
Ses01F_script01_3_F012,[LAUGHTER]
